City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Binzhou,CN,2020-10-20 01:16:54,37.37,118.02,64.0,50,100,6.22
157,Avera,US,2020-10-20 01:18:11,33.19,-82.53,66.2,82,1,4.7
158,Turukhansk,RU,2020-10-20 01:18:11,65.82,87.98,10.72,96,97,3.67
159,Yulara,AU,2020-10-20 01:15:59,-25.24,130.99,73.4,64,0,11.41
160,Airai,TL,2020-10-20 01:18:12,-8.93,125.41,78.78,34,1,3.31
161,Georgetown,MY,2020-10-20 01:17:28,5.41,100.34,82.4,83,20,4.7
162,Sao Joao Da Barra,BR,2020-10-20 01:18:12,-21.64,-41.05,72.7,83,100,11.32
163,Bluff,NZ,2020-10-20 01:18:12,-46.6,168.33,52.0,76,54,13.0
164,Maniitsoq,GL,2020-10-20 01:18:12,65.42,-52.9,37.92,86,100,21.23
165,Faya,SA,2020-10-20 01:15:54,18.39,42.45,53.6,27,0,9.17
166,Te Anau,NZ,2020-10-20 01:16:26,-45.42,167.72,54.93,49,7,4.43
167,Puerto Ayora,EC,2020-10-20 01:18:13,-0.74,-90.35,69.01,92,98,5.99
168,Itarema,BR,2020-10-20 01:18:13,-2.92,-39.92,79.07,80,0,18.01
169,Khatanga,RU,2020-10-20 01:18:13,71.97,102.5,11.88,97,89,2.26
170,Grindavik,IS,2020-10-20 01:18:13,63.84,-22.43,33.8,86,88,9.17
171,Babina,IN,2020-10-20 01:18:13,25.25,78.47,77.76,31,71,3.09
172,Bengkulu,ID,2020-10-20 01:16:16,-3.8,102.27,78.58,79,100,4.83
173,Buraydah,SA,2020-10-20 01:18:13,26.33,43.98,60.8,41,0,4.7
174,Faanui,PF,2020-10-20 01:18:14,-16.48,-151.75,78.98,80,19,19.62
175,Finschhafen,PG,2020-10-20 01:18:14,-6.6,147.87,84.42,65,54,3.4
176,Lavrentiya,RU,2020-10-20 01:18:14,65.58,-171.0,35.96,75,4,5.5
177,Kon Tum,VN,2020-10-20 01:18:14,14.35,108.0,73.11,91,100,0.96
178,Mao,ES,2020-10-20 01:18:14,39.89,4.27,60.8,77,0,6.93
179,Vitkov,CZ,2020-10-20 01:18:14,49.77,17.75,37.4,93,3,5.82
180,Marsh Harbour,BS,2020-10-20 01:18:14,26.54,-77.06,80.94,77,100,20.92
181,Port Macquarie,AU,2020-10-20 01:13:24,-31.43,152.92,70.0,64,35,1.99
182,Kurtamysh,RU,2020-10-20 01:18:14,54.91,64.43,48.56,89,97,1.57
183,Guerrero Negro,MX,2020-10-20 01:18:15,27.98,-114.06,75.76,62,0,16.22
