City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
121,Tilichiki,RU,60.47,166.1,39.96,85,100,6.73,overcast clouds
122,Kalasin,TH,16.5,103.5,77.0,65,64,10.29,broken clouds
123,Husavik,IS,66.04,-17.34,28.4,86,74,2.24,broken clouds
124,Mizdah,LY,31.45,12.98,54.21,83,0,6.69,clear sky
125,San Cristobal,VE,7.77,-72.22,66.18,87,60,2.33,light rain
126,Roald,NO,62.58,6.13,42.8,75,93,17.22,overcast clouds
127,Inhambane,MZ,-23.86,35.38,71.04,87,26,8.57,scattered clouds
128,Poya,NC,-21.35,165.15,80.91,59,54,4.12,broken clouds
129,Narsaq,GL,60.92,-46.05,30.2,63,82,11.99,broken clouds
130,Colwyn Bay,GB,53.29,-3.73,50.0,89,98,8.99,overcast clouds
131,Alofi,NU,-19.06,-169.92,77.0,88,90,18.34,light intensity drizzle
132,Hambantota,LK,6.12,81.12,82.4,88,20,9.17,few clouds
133,Viedma,AR,-40.81,-63.0,54.0,70,98,4.0,overcast clouds
134,Hermanus,ZA,-34.42,19.23,57.0,89,1,7.0,clear sky
135,Tandil,AR,-37.32,-59.13,51.01,74,100,1.99,light rain
136,Fecamp,FR,49.76,0.37,55.4,87,0,6.93,clear sky
137,Osakarovka,KZ,50.56,72.57,35.15,85,100,13.33,overcast clouds
138,Wanaka,NZ,-44.7,169.15,61.97,40,80,2.68,broken clouds
139,Aden,YE,12.78,45.04,85.15,60,16,2.8,few clouds
140,Taga,RO,46.95,24.05,33.8,65,20,1.12,fog
141,Richards Bay,ZA,-28.78,32.04,62.46,87,3,5.86,clear sky
142,Ayaviri,PE,-14.89,-70.59,48.02,60,61,2.64,light rain
143,Sola,VU,-13.88,167.55,81.27,78,44,13.58,light rain
144,Korla,CN,41.76,86.15,57.52,32,0,0.27,clear sky
145,Acarau,BR,-2.89,-40.12,79.39,83,8,15.9,clear sky
146,Pauini,BR,-7.71,-66.98,73.06,97,98,0.89,moderate rain
147,Cockburn Town,TC,21.46,-71.14,81.66,77,100,15.37,light rain
148,Clyde River,CA,70.47,-68.59,15.8,78,1,6.93,clear sky
149,Banes,CU,20.96,-75.72,75.2,94,75,3.36,broken clouds
150,Kathmandu,NP,27.72,85.32,66.2,88,20,2.24,mist
151,Cascais,PT,38.7,-9.42,57.99,100,40,1.12,shower rain
152,Brae,GB,60.4,-1.35,44.6,75,99,17.22,overcast clouds
153,Izyaslav,UA,50.12,26.82,45.61,61,56,6.78,broken clouds
154,Carhuamayo,PE,-10.92,-76.03,38.26,89,99,3.8,overcast clouds
155,East London,ZA,-33.02,27.91,62.6,82,0,10.29,clear sky
156,Arraial Do Cabo,BR,-22.97,-42.03,72.61,88,34,12.37,scattered clouds
157,Perigueux,FR,45.18,0.72,57.99,93,39,5.82,light rain
158,Santa Fe,AR,-31.63,-60.7,69.01,78,94,4.0,overcast clouds
159,Geraldton,AU,-28.77,114.6,71.6,53,0,12.75,clear sky
160,Vestmannaeyjar,IS,63.44,-20.27,42.19,91,100,27.36,light rain
161,Lorut,AM,40.94,44.77,41.18,90,50,1.1,scattered clouds
162,Embu,BR,-23.65,-46.85,66.99,77,40,10.29,scattered clouds
163,Ilulissat,GL,69.22,-51.1,28.4,74,100,6.93,light snow
164,Palmer,US,42.16,-72.33,66.99,93,40,4.7,scattered clouds
165,Abonnema,NG,4.71,6.79,77.0,94,40,3.56,scattered clouds
166,Coihaique,CL,-45.58,-72.07,46.4,52,0,28.86,clear sky
167,Tiznit,MA,29.58,-9.5,63.37,74,100,5.48,light rain
168,Faanui,PF,-16.48,-151.75,79.38,75,30,10.51,scattered clouds
169,Axim,GH,4.87,-2.24,77.32,90,46,6.87,scattered clouds
170,Srandakan,ID,-7.94,110.25,87.44,60,34,8.25,scattered clouds
171,Bandarbeyla,SO,9.49,50.81,79.47,65,80,1.34,broken clouds
172,Zavitinsk,RU,50.12,129.45,32.88,85,96,9.24,overcast clouds
173,Cape Town,ZA,-33.93,18.42,59.0,87,0,12.75,clear sky
174,Gizo,SB,-8.1,156.84,83.93,69,48,6.67,moderate rain
175,Chulman,RU,56.85,124.91,17.06,93,83,5.7,broken clouds
176,Ulladulla,AU,-35.35,150.47,71.6,68,75,9.17,broken clouds
177,Standerton,ZA,-26.93,29.24,52.0,96,0,4.29,clear sky
178,Maniitsoq,GL,65.42,-52.9,27.28,95,99,6.29,light snow
179,Pemangkat,ID,1.17,108.97,85.62,67,43,9.69,moderate rain
180,Copiapo,CL,-27.37,-70.33,53.6,81,0,9.17,clear sky
181,Jamestown,US,42.1,-79.24,52.0,100,90,1.25,overcast clouds
182,Muros,ES,42.78,-9.06,55.0,98,16,16.46,light rain
183,Saldanha,ZA,-33.01,17.94,50.0,87,0,3.36,clear sky
184,Leua,SK,48.22,18.61,48.99,89,1,4.0,clear sky
185,Tatarsk,RU,55.22,75.98,37.53,77,100,15.19,overcast clouds
186,Skagen,DK,57.72,10.58,55.0,95,100,21.0,light rain
187,Mogadishu,SO,2.04,45.34,79.72,85,9,10.54,clear sky
188,Flin Flon,CA,54.77,-101.86,24.62,90,100,3.36,overcast clouds
189,Uchiza,PE,-8.46,-76.46,69.26,82,66,1.59,broken clouds
190,Grindavik,IS,63.84,-22.43,41.0,93,90,26.4,light rain
191,Kuah,MY,6.33,99.84,84.2,83,20,4.7,few clouds
192,Whitehorse,CA,60.72,-135.05,17.6,61,20,8.05,few clouds
193,Iqaluit,CA,63.75,-68.51,32.0,93,90,5.82,overcast clouds
194,Waingapu,ID,-9.66,120.26,87.91,54,18,10.36,few clouds
195,Orbetello,IT,42.44,11.22,57.2,93,75,3.36,broken clouds
196,Kavieng,PG,-2.57,150.8,84.85,66,23,7.63,few clouds
197,Kanlagay,PH,5.88,121.29,84.15,77,35,10.83,light rain
198,Nishihara,JP,26.18,127.76,77.0,94,75,3.36,shower rain
199,Leninskoye,KZ,41.76,69.39,55.4,57,40,9.17,smoke
200,Itarema,BR,-2.92,-39.92,79.77,81,17,15.59,few clouds
201,Soyo,AO,-6.13,12.37,77.11,83,100,7.87,overcast clouds
202,Omboue,GA,-1.57,9.26,75.85,91,100,7.27,light rain
203,Norman Wells,CA,65.28,-126.83,21.2,85,90,6.93,light snow
204,Nanortalik,GL,60.14,-45.24,33.96,83,60,32.44,broken clouds
205,Nogliki,RU,51.83,143.17,55.31,69,99,9.95,overcast clouds
206,La Ronge,CA,55.1,-105.28,24.8,62,90,3.36,overcast clouds
207,Hamilton,US,39.18,-84.53,63.0,93,1,3.36,mist
208,Victoria,HK,22.29,114.16,77.0,64,31,3.0,scattered clouds
209,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,53.6,32,0,8.95,clear sky
210,Merauke,ID,-8.47,140.33,85.78,61,82,9.42,broken clouds
211,Krasnoselkup,RU,65.7,82.47,17.55,97,83,5.01,broken clouds
212,Taree,AU,-31.9,152.47,77.0,50,40,11.41,scattered clouds
213,Yellowknife,CA,62.46,-114.35,23.0,92,75,10.29,light snow
214,Jonkoping,SE,57.78,14.16,53.6,100,100,11.41,drizzle
215,Toro,CO,4.61,-76.08,68.83,88,100,1.99,moderate rain
216,Linxia,CN,35.6,103.21,52.54,40,0,2.64,clear sky
217,Antalaha,MG,-14.9,50.28,72.64,83,66,10.22,broken clouds
218,Nelson Bay,AU,-32.72,152.15,81.0,57,75,11.41,broken clouds
219,Kalabo,ZM,-14.97,22.68,70.68,48,16,5.41,few clouds
220,Kodiak,US,57.79,-152.41,44.6,56,75,13.87,broken clouds
221,Georgetown,MY,5.41,100.34,80.6,74,40,9.17,shower rain
222,Umm Kaddadah,SD,13.6,26.69,80.98,15,0,16.51,clear sky
223,Saskylakh,RU,71.92,114.08,6.31,94,8,7.56,clear sky
224,Mandalgovi,MN,45.76,106.27,35.1,73,0,11.1,clear sky
