City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
163,Bathsheba,BB,13.22,-59.52,84.2,70,20,24.16,few clouds
164,Vryheid,ZA,-27.77,30.79,59.22,89,26,0.89,scattered clouds
165,Filadelfia,US,39.95,-75.16,69.8,82,75,10.29,broken clouds
166,Souillac,MU,-20.52,57.52,73.4,69,20,8.05,few clouds
167,Orange,US,33.7,-117.77,71.6,60,75,10.29,broken clouds
168,Sulzbach-Rosenberg,DE,49.5,11.75,55.99,93,90,5.82,overcast clouds
169,Chumikan,RU,54.72,135.31,29.93,91,100,12.28,overcast clouds
170,Flinders,AU,-34.58,150.86,73.0,86,99,3.0,light rain
171,Haines Junction,CA,60.75,-137.51,24.73,78,96,2.15,overcast clouds
172,Pangody,RU,65.85,74.49,17.38,95,95,10.8,overcast clouds
173,Olot,ES,42.18,2.49,54.0,92,4,1.99,light rain
174,Magadan,RU,59.57,150.8,37.56,80,100,10.09,overcast clouds
175,Santiago De Cao,PE,-7.96,-79.24,62.53,83,80,8.32,broken clouds
176,Banda Aceh,ID,5.56,95.32,80.74,74,100,6.76,light rain
177,Alcudia,ES,39.85,3.12,64.99,77,0,3.36,clear sky
178,Santa Maria,BR,-29.68,-53.81,68.79,89,100,5.91,overcast clouds
179,Valdosta,US,30.83,-83.28,78.8,74,75,8.05,broken clouds
180,Luderitz,NA,-26.65,15.16,59.02,81,0,8.12,clear sky
181,Bonfim,BR,3.08,-59.95,86.76,53,75,4.27,light rain
182,Berdigestyakh,RU,62.1,126.7,23.45,97,100,4.99,light snow
183,San Rafael,AR,-34.62,-68.33,79.99,30,0,10.09,clear sky
184,Kawalu,ID,-7.38,108.21,72.84,90,93,1.19,overcast clouds
185,Isoka,ZM,-10.16,32.63,64.06,61,22,2.62,few clouds
186,Port Blair,IN,11.67,92.75,80.6,84,78,5.55,broken clouds
187,New Norfolk,AU,-42.78,147.06,59.0,62,100,1.99,overcast clouds
188,Alofi,NU,-19.06,-169.92,80.6,74,75,18.34,shower rain
189,Kaitangata,NZ,-46.28,169.85,65.46,47,54,3.13,broken clouds
190,Vardo,NO,70.37,31.11,33.8,100,75,11.41,broken clouds
191,Watsa,CD,3.04,29.54,64.08,99,100,1.63,overcast clouds
192,Westport,US,41.14,-73.36,64.0,93,90,10.29,overcast clouds
193,Matagami,CA,49.75,-77.63,32.0,98,90,8.05,light rain
194,Krasnoselkup,RU,65.7,82.47,15.42,97,87,9.33,overcast clouds
195,Loiza,PR,18.43,-65.88,84.2,83,40,11.41,scattered clouds
196,Ibra,OM,22.69,58.53,67.87,24,0,6.53,clear sky
197,Dali,CN,25.7,100.18,49.64,88,100,2.35,light rain
198,Hidalgotitlan,MX,17.78,-94.63,86.0,70,5,11.41,clear sky
199,Mayahi,NE,13.96,7.67,84.81,14,13,12.59,few clouds
200,Pizhma,RU,57.86,47.12,41.49,98,100,6.58,light rain
201,Inirida,CO,3.87,-67.92,75.06,89,92,1.68,overcast clouds
202,Havre-Saint-Pierre,CA,50.23,-63.6,35.6,74,90,5.82,overcast clouds
203,Rio De Janeiro,BR,-22.9,-43.21,75.2,69,0,4.7,clear sky
204,Hamilton,US,39.18,-84.53,73.0,77,40,6.93,scattered clouds
205,Xining,CN,36.62,101.77,40.8,66,40,2.24,scattered clouds
206,Pishin,PK,30.58,67.0,39.76,67,0,1.68,clear sky
207,Kasulu,TZ,-4.58,30.1,66.69,70,1,2.84,clear sky
208,Sur,OM,22.57,59.53,77.2,63,0,13.47,clear sky
209,Edgemere,US,39.24,-76.45,68.0,100,1,3.36,clear sky
210,Nabire,ID,-3.37,135.48,75.9,91,100,4.41,overcast clouds
211,Sola,VU,-13.88,167.55,79.23,82,77,16.84,light rain
212,Tocopilla,CL,-22.09,-70.2,63.9,65,35,9.26,scattered clouds
213,Tecoanapa,MX,16.52,-98.75,83.95,75,100,9.42,overcast clouds
214,Katsuura,JP,35.13,140.3,64.99,48,40,18.34,scattered clouds
215,Bambous Virieux,MU,-20.34,57.76,73.4,69,20,8.05,few clouds
216,Del Rio,US,29.36,-100.9,73.4,49,90,14.99,overcast clouds
217,Bonthe,SL,7.53,-12.51,78.91,86,100,5.06,overcast clouds
218,Kedrovyy,RU,56.17,91.82,32.0,93,0,6.71,clear sky
219,Bintulu,MY,3.17,113.03,75.2,100,20,4.7,few clouds
220,Chuy,UY,-33.7,-53.46,63.75,94,92,5.82,overcast clouds
221,Manavalakurichi,IN,8.13,77.3,78.8,78,20,2.24,mist
222,Port Augusta,AU,-32.5,137.77,57.2,67,90,18.34,overcast clouds
223,Esperance,AU,-33.87,121.9,55.4,93,90,6.93,overcast clouds
224,Monster,NL,52.03,4.17,55.99,93,32,5.99,scattered clouds
225,Slavyanka,RU,42.86,131.38,38.14,71,0,15.9,clear sky
226,Belmonte,BR,-15.86,-38.88,71.6,88,90,4.7,light rain
227,Palauig,PH,15.44,119.9,81.05,74,92,4.94,overcast clouds
228,Dikson,RU,73.51,80.55,23.54,93,100,14.97,overcast clouds
229,Zatyshshya,UA,47.33,29.87,54.0,53,74,3.29,broken clouds
230,Seoul,KR,37.57,126.98,42.8,48,1,10.98,clear sky
231,Hobyo,SO,5.35,48.53,82.24,73,100,20.07,light rain
232,Cabedelo,BR,-6.98,-34.83,77.0,88,20,8.05,few clouds
233,Norsup,VU,-16.07,167.38,82.4,74,75,9.17,broken clouds
234,Ahipara,NZ,-35.17,173.17,69.08,67,48,6.13,scattered clouds
235,Gondanglegi,ID,-7.75,112.01,77.27,82,5,9.01,clear sky
236,Bandarbeyla,SO,9.49,50.81,76.26,77,92,3.2,overcast clouds
237,Borna,DE,51.12,12.5,55.4,87,100,4.7,overcast clouds
238,Aswan,EG,24.09,32.91,76.64,29,0,10.78,clear sky
239,Kindu,CD,-2.95,25.95,68.77,87,81,0.96,broken clouds
240,Cherskiy,RU,68.75,161.3,17.06,94,35,2.98,scattered clouds
241,San Quintin,MX,30.48,-115.95,69.76,64,50,10.65,scattered clouds
242,Salta,AR,-24.79,-65.41,80.6,47,40,6.93,scattered clouds
243,Torbat-E Jam,IR,35.24,60.62,45.5,56,0,8.23,clear sky
